content_piece,current_locations,category,reasoning,decision,canonical_location,action_taken,task
"FAQ page overall","faq.html","R - Redundant/O - Outdated/T - Trivial","15 substantive questions covering hiring logistics, technical expertise, working style, and process methodology. User noted 'FAQ feels thin' but full read reveals comprehensive Q&A addressing real objections and practical hiring concerns. No generic filler.","keep","faq.html","STRENGTHEN in place - authoritative tone shift, grammar fixes, no redistribution to other pages needed","Task 1"
"AICC 'Deep Deep' typo","technologies.html line 146","T - Trivial","Duplicate word 'Deep' in AICC expertise badge","remove","technologies.html","Fixed typo - removed duplicate 'Deep'","Task 1"
"Articulate Storyline 'Deep' repetition","technologies.html line 260","T - Trivial","Grammar report flagged repeated 'Deep' in tech summary","update","technologies.html","Fixed - changed 'Deep knowledge' to 'Extensive knowledge' to avoid badge repetition","Task 1"
"technologies.html intro","technologies.html","O - Outdated","Purpose unclear from visitor perspective - no context for why this page exists or who it serves","update","technologies.html","Added purpose statement explaining this is verified proof of production work, not resume padding","Task 1"
"'Multiple' weasel words","technologies.html, portfolio.html, testimonials.html","T - Trivial","Write-good flagged 'multiple' × 8 times across pages as wordy/unneeded","update","various","Removed or replaced with specific counts where appropriate","Task 1"
"The Fiddler testimonial duplicate","testimonials.html + exhibits/exhibit-c.html","R - Redundant","Exact duplicate per duplicate-report.txt - same quote appears on both pages","consolidate","exhibits/exhibit-c.html","Removed from testimonials.html - kept in Exhibit C where it has GPiLEARN project context","Task 1"
"Testimonial permission flag","testimonials.html","O - Outdated/Risk Flag","All testimonials sourced from GP Strategies email archives without explicit permission (per CONTEXT.md - deferred decision)","keep with flag","testimonials.html","Noted for future action (outside phase scope) - no edits to testimonials themselves","Task 1"
"Weakening language on testimonials","testimonials.html","T - Trivial","Grammar report: 'huge' × 3, 'really', 'stuff', 'things', etc - weakens authoritative voice","update","testimonials.html","Strengthened language - removed weasel words, tightened phrasing","Task 1"
"Philosophy section duplication","index.html + philosophy.html","R - Redundant","Full philosophy section on homepage duplicates philosophy.html content (per IA analysis - redundancy echo)","consolidate","philosophy.html","REMOVED entire philosophy section from index.html - trimmed 1 major section from homepage","Task 2"
"Weakening language on philosophy","philosophy.html","T - Trivial","Grammar report: 'just' × 4, 'it was/it is' × 3, 'fairly' × 3, 'multiple', 'perfect storm' cliche","update","philosophy.html","Removed 'just' × 4, 'it was' × 2, 'fairly' × 3, 'multiple', 'perfect storm' - shifted to authoritative voice","Task 2"
"Contact page engagement criteria","contact.html","O - Outdated/Missing","Per CONTEXT.md and IA analysis: missing 'Types of Work' and 'Not a Good Fit' sections with billable-hours anti-pattern","update","contact.html","Added 'Types of Work I'm Open To' section (contract/C2H/FT with caveat). Updated 'Not a Good Fit' with billable-hours-first consultancies anti-pattern and keyword-matching roles","Task 2"
"index.html overall length","index.html","R - Redundant","Per IA analysis: 19 sections too long for 'hook and route' model, user noted 'homepage is too long', target ~10 sections","consolidate","index.html","Removed philosophy section entirely (major trim), reducing overall page length","Task 2"
